MTU (CET/CEST),Area,Sequence,Day-ahead Price (EUR/MWh),Intraday Period (CET/CEST),Intraday Price (EUR/MWh)
06/01/2025 08:00:00 - 06/01/2025 09:00:00,BZN|DK2,Without sequence,40.58,,
06/01/2025 09:00:00 - 06/01/2025 10:00:00,BZN|DK2,Without sequence,36.2,,
06/01/2025 10:00:00 - 06/01/2025 11:00:00,BZN|DK2,Without sequence,34.69,,
06/01/2025 11:00:00 - 06/01/2025 12:00:00,BZN|DK2,Without sequence,32.83,,
06/01/2025 12:00:00 - 06/01/2025 13:00:00,BZN|DK2,Without sequence,31.28,,
06/01/2025 13:00:00 - 06/01/2025 14:00:00,BZN|DK2,Without sequence,28.6,,
06/01/2025 14:00:00 - 06/01/2025 15:00:00,BZN|DK2,Without sequence,25.6,,
06/01/2025 15:00:00 - 06/01/2025 16:00:00,BZN|DK2,Without sequence,26.32,,
06/01/2025 16:00:00 - 06/01/2025 17:00:00,BZN|DK2,Without sequence,26.87,,
06/01/2025 17:00:00 - 06/01/2025 18:00:00,BZN|DK2,Without sequence,31.67,,
06/01/2025 18:00:00 - 06/01/2025 19:00:00,BZN|DK2,Without sequence,31.59,,
06/01/2025 19:00:00 - 06/01/2025 20:00:00,BZN|DK2,Without sequence,27.93,,
06/01/2025 20:00:00 - 06/01/2025 21:00:00,BZN|DK2,Without sequence,23.08,,
06/01/2025 21:00:00 - 06/01/2025 22:00:00,BZN|DK2,Without sequence,13.65,,
06/01/2025 22:00:00 - 06/01/2025 23:00:00,BZN|DK2,Without sequence,15.49,,
06/01/2025 23:00:00 - 07/01/2025 00:00:00,BZN|DK2,Without sequence,8.27,,
07/01/2025 00:00:00 - 07/01/2025 01:00:00,BZN|DK2,Without sequence,10.61,,
07/01/2025 01:00:00 - 07/01/2025 02:00:00,BZN|DK2,Without sequence,8.71,,
07/01/2025 02:00:00 - 07/01/2025 03:00:00,BZN|DK2,Without sequence,5.3,,
07/01/2025 03:00:00 - 07/01/2025 04:00:00,BZN|DK2,Without sequence,5.01,,
07/01/2025 04:00:00 - 07/01/2025 05:00:00,BZN|DK2,Without sequence,5.13,,
07/01/2025 05:00:00 - 07/01/2025 06:00:00,BZN|DK2,Without sequence,5.8,,
07/01/2025 06:00:00 - 07/01/2025 07:00:00,BZN|DK2,Without sequence,28.08,,
07/01/2025 07:00:00 - 07/01/2025 08:00:00,BZN|DK2,Without sequence,36.01,,
07/01/2025 08:00:00 - 07/01/2025 09:00:00,BZN|DK2,Without sequence,37.23,,
07/01/2025 09:00:00 - 07/01/2025 10:00:00,BZN|DK2,Without sequence,35.01,,
07/01/2025 10:00:00 - 07/01/2025 11:00:00,BZN|DK2,Without sequence,34.27,,
07/01/2025 11:00:00 - 07/01/2025 12:00:00,BZN|DK2,Without sequence,34.65,,
07/01/2025 12:00:00 - 07/01/2025 13:00:00,BZN|DK2,Without sequence,33.33,,
07/01/2025 13:00:00 - 07/01/2025 14:00:00,BZN|DK2,Without sequence,33.27,,
07/01/2025 14:00:00 - 07/01/2025 15:00:00,BZN|DK2,Without sequence,33.28,,
07/01/2025 15:00:00 - 07/01/2025 16:00:00,BZN|DK2,Without sequence,33.25,,
07/01/2025 16:00:00 - 07/01/2025 17:00:00,BZN|DK2,Without sequence,35.04,,
07/01/2025 17:00:00 - 07/01/2025 18:00:00,BZN|DK2,Without sequence,44.26,,
07/01/2025 18:00:00 - 07/01/2025 19:00:00,BZN|DK2,Without sequence,35.01,,
07/01/2025 19:00:00 - 07/01/2025 20:00:00,BZN|DK2,Without sequence,33.53,,
07/01/2025 20:00:00 - 07/01/2025 21:00:00,BZN|DK2,Without sequence,23.25,,
07/01/2025 21:00:00 - 07/01/2025 22:00:00,BZN|DK2,Without sequence,22.43,,
07/01/2025 22:00:00 - 07/01/2025 23:00:00,BZN|DK2,Without sequence,23.22,,
07/01/2025 23:00:00 - 08/01/2025 00:00:00,BZN|DK2,Without sequence,12.42,,
08/01/2025 00:00:00 - 08/01/2025 01:00:00,BZN|DK2,Without sequence,13.18,,
08/01/2025 01:00:00 - 08/01/2025 02:00:00,BZN|DK2,Without sequence,13.66,,
08/01/2025 02:00:00 - 08/01/2025 03:00:00,BZN|DK2,Without sequence,23.26,,
08/01/2025 03:00:00 - 08/01/2025 04:00:00,BZN|DK2,Without sequence,17.88,,
08/01/2025 04:00:00 - 08/01/2025 05:00:00,BZN|DK2,Without sequence,21.49,,
08/01/2025 05:00:00 - 08/01/2025 06:00:00,BZN|DK2,Without sequence,23.9,,
08/01/2025 06:00:00 - 08/01/2025 07:00:00,BZN|DK2,Without sequence,26.37,,
08/01/2025 07:00:00 - 08/01/2025 08:00:00,BZN|DK2,Without sequence,45.43,,
08/01/2025 08:00:00 - 08/01/2025 09:00:00,BZN|DK2,Without sequence,61.72,,
08/01/2025 09:00:00 - 08/01/2025 10:00:00,BZN|DK2,Without sequence,67.11,,
08/01/2025 10:00:00 - 08/01/2025 11:00:00,BZN|DK2,Without sequence,69.87,,
08/01/2025 11:00:00 - 08/01/2025 12:00:00,BZN|DK2,Without sequence,70.81,,
08/01/2025 12:00:00 - 08/01/2025 13:00:00,BZN|DK2,Without sequence,69.13,,
08/01/2025 13:00:00 - 08/01/2025 14:00:00,BZN|DK2,Without sequence,74.06,,
08/01/2025 14:00:00 - 08/01/2025 15:00:00,BZN|DK2,Without sequence,80.76,,
08/01/2025 15:00:00 - 08/01/2025 16:00:00,BZN|DK2,Without sequence,104.99,,
08/01/2025 16:00:00 - 08/01/2025 17:00:00,BZN|DK2,Without sequence,132.17,,
08/01/2025 17:00:00 - 08/01/2025 18:00:00,BZN|DK2,Without sequence,153.42,,
08/01/2025 18:00:00 - 08/01/2025 19:00:00,BZN|DK2,Without sequence,146.85,,
08/01/2025 19:00:00 - 08/01/2025 20:00:00,BZN|DK2,Without sequence,143.8,,
08/01/2025 20:00:00 - 08/01/2025 21:00:00,BZN|DK2,Without sequence,110.91,,
08/01/2025 21:00:00 - 08/01/2025 22:00:00,BZN|DK2,Without sequence,95.01,,
08/01/2025 22:00:00 - 08/01/2025 23:00:00,BZN|DK2,Without sequence,75.72,,
08/01/2025 23:00:00 - 09/01/2025 00:00:00,BZN|DK2,Without sequence,51.3,,
09/01/2025 00:00:00 - 09/01/2025 01:00:00,BZN|DK2,Without sequence,70.19,,
